pdt_name,pdt_name_clean,pdt_cas,브랜드명,규격/스펙
"Stainless-steel -Ball joint Clamps, with Tightening Screw Ideal for Strong & Tightening Clamping, 강력스텐 볼조인트 크램프, 스크류식","stainless-steel -ball joint clamps, with tightening screw ideal for strong & tightening clamping, 강력스텐 볼조인트 크램프, 스크류식",,,
"Heat Protection Silicone Glove, with Hot - cushion & Grip Surface Non-slip, Useable both sides, 5 Finger Grip, Heat Resistant up to 230℃, 실리콘 고온용 장갑, 양면용","heat protection silicone glove, with hot - cushion & grip surface non-slip, useable both sides, 5 finger grip, heat resistant up to 230℃, 실리콘 고온용 장갑, 양면용",,,
"Stainless-steel Base Molds/Trays, for Histology, Standard- & Biopsy-types, 스텐 베이스 몰드","stainless-steel base molds trays, for histology, standard- & biopsy-types, 스텐 베이스 몰드",,,
"PP Tissue Capsules, with Snap-lid and Whole Surface-Open-Mesh, -10℃~+125/140℃, 티슈 캡슐","pp tissue capsules, with snap-lid and whole surface-open-mesh, -10℃~+125 140℃, 티슈 캡슐",,,
"HIPS Tissue Embedding Rings, with Writing Surface, 티슈 임배딩 링","hips tissue embedding rings, with writing surface, 티슈 임배딩 링",,,
"Embedding Sponge Pads, Polyester-urethane Foam, Calibrated porosity, 임배딩 패드","embedding sponge pads, polyester-urethane foam, calibrated porosity, 임배딩 패드",,,
"Acetal Polymer Tissue Embedding Cassettes Available for Metal Lid, Ideal for Auto-labeling, H6.8mm, 조직 임베딩용 카세트","acetal polymer tissue embedding cassettes available for metal lid, ideal for auto-labeling, h6.8mm, 조직 임베딩용 카세트",,,
"MicromeshTM Biopsy Processing/Embedding Cassettes, w/Closed Lid, Acetal Polymer Suitable for Auto-labeling, H6.8mm, Biopsy Processing용 임베딩 카세트","micromeshtm biopsy processing embedding cassettes, w closed lid, acetal polymer suitable for auto-labeling, h6.8mm, biopsy processing용 임베딩 카세트",,,
"SlimsetteTM Biopsy Processing/Embedding Cassettes, Acetal Polymer Slim Type, Biopsy Processing/Embedding 카세트","slimsettetm biopsy processing embedding cassettes, acetal polymer slim type, biopsy processing embedding 카세트",,,
"HistosetteⅡTM Tissue & Biopsy Cassettes, in Plastic Sleeve of 75 pcs, Acetal Polymer with Lids, Suitable for Auto-Labeling, Tissue & Biopsy 카세트","histosetteⅱtm tissue & biopsy cassettes, in plastic sleeve of 75 pcs, acetal polymer with lids, suitable for auto-labeling, tissue & biopsy 카세트",,,
"SlimsetteTM Tissue / Biopsy Embedding Cassettes in Sleeves, Acetal Polymer Ideal for Auto-labeling, H6.8mm, Tissue / Biopsy, 임베딩 카세트","slimsettetm tissue biopsy embedding cassettes in sleeves, acetal polymer ideal for auto-labeling, h6.8mm, tissue biopsy, 임베딩 카세트",,,
"Modular Storage Single-type Drawers, Heavy-duty Cardboard, 스토레이지 드라우어","modular storage single-type drawers, heavy-duty cardboard, 스토레이지 드라우어",,,
"StainTrayTM ABS Slide Staining Trays with Lids, with Drain Plug, Stackable for 12/20 Slides, -80℃~+80℃, 만능 염색밧트 세트","staintraytm abs slide staining trays with lids, with drain plug, stackable for 12 20 slides, -80℃~+80℃, 만능 염색밧트 세트",,,
"EasyDipTM Slide Staining Rack & Jar, Acetal Polymer for 12 Sides, Autoclavable, -170℃~+210℃, 슬라이드 스테이닝용 랙 & 자","easydiptm slide staining rack & jar, acetal polymer for 12 sides, autoclavable, -170℃~+210℃, 슬라이드 스테이닝용 랙 & 자",,,
"HistoTainer I™ Specimen Containers, 50% Fillied with 10% Neutral Buffered Formalin, Tamper Evident Screwcap 20~120㎖조직 표본/검사물 보관 용기, 10%희석된 포르말린 용액 50%충전됨, Collection, Transport & Storage of Histology Specimens, PP Container & PE Cap ","histotainer i™ specimen containers, 50% fillied with 10% neutral buffered formalin, tamper evident screwcap 20~120㎖조직 표본 검사물 보관 용기, 10%희석된 포르말린 용액 50%충전됨, collection, transport & storage of histology specimens, pp container & pe cap",,,
"SecurTainerITM PP Tamper Evident Specimen Containers, with PE Tamper Evident Screwcap, 20~120㎖ Designed for Collection, Transport and Stackable Storage of Specimens, 90℃~+100℃ Stackable, PP Tamper Evident 샘플 컨테이너","securtaineritm pp tamper evident specimen containers, with pe tamper evident screwcap, 20~120㎖ designed for collection, transport and stackable storage of specimens, 90℃~+100℃ stackable, pp tamper evident 샘플 컨테이너",,,
"CoreDishTM PS Multiple Biopsy Containers, Multi-Compartment, with 10% Neutral Buffered Formalin with Information Holding & Transporting Biopsies, 10%, -10℃~+70/80℃, with Leakproof Closure with O-ring, Φ95×h15mm Dish Shape, 조직 표본 보관용 용기","coredishtm ps multiple biopsy containers, multi-compartment, with 10% neutral buffered formalin with information holding & transporting biopsies, 10%, -10℃~+70 80℃, with leakproof closure with o-ring, φ95×h15mm dish shape, 조직 표본 보관용 용기",,,
"Steel Retort Base Duo Stand, up to Φ16mm Rods, for 2 Rods with Hinged Screw M6, Nonskid Feet equipped, Rod Excluded","steel retort base duo stand, up to φ16mm rods, for 2 rods with hinged screw m6, nonskid feet equipped, rod excluded",,,
"Specific-gravity / Baume Hydrometers Ideal for General / Industrial, 경보메도 & 중보메도","specific-gravity baume hydrometers ideal for general industrial, 경보메도 & 중보메도",,,
"ChillBlockTM Thermal Conductive Metal Alloy Tube Racks, Cooling / Freezing / Heating, -150℃~＞+100℃ for a Variety Tubes & Vials, ±0.1℃Temperature Uniformity, Autoclavable, 열전도성 튜브 랙","chillblocktm thermal conductive metal alloy tube racks, cooling freezing heating, -150℃~＞+100℃ for a variety tubes & vials, ±0.1℃temperature uniformity, autoclavable, 열전도성 튜브 랙",,,
포스트잇 플래그 683-9KN,포스트잇 플래그 683-9kn,,,
피비스위스툴 초경센터펀치 712-1 8 100,피비스위스툴 초경센터펀치 712-1 8 100,,,
"Multi-use Stainless-steel Jar, with Hinged Lid, 다용도 스테인레스-자, 원통형","multi-use stainless-steel jar, with hinged lid, 다용도 스테인레스-자, 원통형",,,
"Cylindrical Glass Jar, with Stainless-steel Lid, 실린더형 유리-자, 원통형","cylindrical glass jar, with stainless-steel lid, 실린더형 유리-자, 원통형",,,
"Stainless-steel Midi Jars, with Lid & Low-form, 단형 스테인레스-자, 원통형","stainless-steel midi jars, with lid & low-form, 단형 스테인레스-자, 원통형",,,
"Stainless-steel Instrument Jars, Instrument, 스테인레스-자, 원통형, 세구","stainless-steel instrument jars, instrument, 스테인레스-자, 원통형, 세구",,,
"Head Lamps, Band-type, Ultralight, Adjustable Inclination, 3~5 Light Mode, 헤드 램프","head lamps, band-type, ultralight, adjustable inclination, 3~5 light mode, 헤드 램프",,,
"Platinum Wire, 99.9%, 백금선","platinum wire, 99.9%, 백금선",,,
"Porcelain Mortar & Pestle-Set, Fully Glazed- & Unglazed Inside-type, 25㎖~13,000㎖, 자제몰탈 / 페슬 세트","porcelain mortar & pestle-set, fully glazed- & unglazed inside-type, 25㎖~13,000㎖, 자제몰탈 페슬 세트",,,
"Wooden Handle Pestle, Porcelain Grinding Head, Non-autoclavable, 목재 손잡이 페슬","wooden handle pestle, porcelain grinding head, non-autoclavable, 목재 손잡이 페슬",,,
"Wriet-ONTM Lab Marker Pen, for High-temperature and Solvents Specially Useful for Histology Marking. Black, 195℃, 고온 & 솔벤트용 마킹펜","wriet-ontm lab marker pen, for high-temperature and solvents specially useful for histology marking. black, 195℃, 고온 & 솔벤트용 마킹펜",,,
"“ThermoStableTM WOC” High Clean Air Oven, with Class 100 HEPA Filter, 560-/800- Lit, with Certi. & Traceability with Chrome Coated steel Wire Shelves, Digital Fuzzy Control System, Clean Air Convection Mechanism, up to 250℃, ±1.0℃ 청정 고온 건조기/오븐, 고정밀 디지털 퍼지 제어, 우수한 청정도","“thermostabletm woc” high clean air oven, with class 100 hepa filter, 560- 800- lit, with certi. & traceability with chrome coated steel wire shelves, digital fuzzy control system, clean air convection mechanism, up to 250℃, ±1.0℃ 청정 고온 건조기 오븐, 고정밀 디지털 퍼지 제어, 우수한 청정도",,,
"AmplitubeTM PP 0.2㎖ & 0.5㎖ PCR Reaction Tubes, Integral Domed or Flat Cap, -196℃~+121℃ with Ultrathin Wall, Certified RNase, DNase, Pyrogen and DNA-free, 0.2㎖ & 0.5㎖ PCR 튜브","amplitubetm pp 0.2㎖ & 0.5㎖ pcr reaction tubes, integral domed or flat cap, -196℃~+121℃ with ultrathin wall, certified rnase, dnase, pyrogen and dna-free, 0.2㎖ & 0.5㎖ pcr 튜브",,,
"AmplitubeTM PP PCR Reaction Tube Strips, Attached 8 Domed Cap Strips, -196℃~+121℃ with Domed Cap, Ultrathin Wall, Certified RNase, DNase, Pyrogen and DNA-free, PCR 스트립 튜브, 8-캡 스트립 부착형","amplitubetm pp pcr reaction tube strips, attached 8 domed cap strips, -196℃~+121℃ with domed cap, ultrathin wall, certified rnase, dnase, pyrogen and dna-free, pcr 스트립 튜브, 8-캡 스트립 부착형",,,
